id,name
country:172,Afghanistan
country:30,Albania
country:102,Algeria
country:242,Andorra
country:126,Angola
country:209,Anguilla
country:56,"Antigua and Barbuda"
country:205,Antilles
country:74,Argentina
country:229,Armenia
country:208,Aruba
country:73,Australia
country:23,Austria
country:228,Azerbaijan
country:64,Bahamas
country:173,Bahrain
country:215,Bangladesh
country:48,Barbados
country:35,Belarus
country:15,Belgium
country:160,Belize
country:103,Benin
country:230,Bermuda
country:220,Bhutan
country:198,Bolivia
country:28,"Bosnia and Herzegovina"
country:115,Botswana
country:67,Brazil
region:2005731,"British Indian Ocean Territory"
country:238,"British Virgin Islands"
country:223,Brunei
country:32,Bulgaria
country:104,"Burkina Faso"
country:143,Burundi
country:66,"Cabo Verde"
country:214,Cambodia
country:120,Cameroon
country:49,Canada
country:159,"Cayman Islands"
country:118,"Central African Republic"
country:130,Chad
country:195,Chile
country:78,China
country:98,Colombia
country:122,Comoros
country:161,"Cook Islands"
country:68,"Costa Rica"
country:27,Croatia
country:51,Cuba
country:42,Cyprus
country:5,"Czech Republic"
country:134,"Democratic Republic of the Congo"
country:8,Denmark
country:145,Djibouti
country:203,Dominica
country:60,"Dominican Republic"
country:224,"East Timor"
country:82,Ecuador
country:40,Egypt
country:157,"El Salvador"
country:119,"Equatorial Guinea"
country:234,Eritrea
country:9,Estonia
country:142,Ethiopia
country:112,"Falkland Islands"
country:113,"Faroe Islands"
country:192,"Federated States of Micronesia"
country:162,Fiji
country:7,Finland
country:14,France
country:127,Gabon
country:57,Gambia
country:44,Georgia
country:18,Germany
country:105,Ghana
country:88,Gibraltar
country:33,Greece
country:101,Greenland
country:69,Grenada
country:153,Guatemala
country:248,Guernsey
country:141,Guinea
country:138,Guinea-Bissau
country:202,Guyana
country:158,Haiti
country:154,Honduras
country:26,Hungary
country:3,Iceland
country:55,India
country:93,Indonesia
country:176,Iran
country:179,Iraq
country:2,Ireland
country:71,Israel
country:20,Italy
country:106,"Ivory Coast"
country:63,Jamaica
country:75,Japan
country:76,Jordan
country:212,Kazakhstan
country:62,Kenya
country:164,Kiribati
country:233,Kosovo
country:177,Kuwait
country:231,Kyrgyzstan
country:217,Laos
country:10,Latvia
country:39,Lebanon
country:133,Lesotho
country:139,Liberia
country:146,Libya
country:251,Liechtenstein
country:11,Lithuania
country:17,Luxembourg
country:38,Macedonia
country:125,Madagascar
country:132,Malawi
country:97,Malaysia
country:61,Maldives
country:135,Mali
country:41,Malta
country:190,"Marshall Islands"
country:140,Mauritania
country:90,Mauritius
country:50,Mexico
country:92,Moldova
country:72,Monaco
country:79,Mongolia
country:87,Montenegro
country:210,Montserrat
country:45,Morocco
country:129,Mozambique
country:222,Myanmar
country:96,Namibia
country:226,Nauru
country:219,Nepal
country:77,"New Zealand"
country:155,Nicaragua
country:108,Niger
country:107,Nigeria
region:296,"Norfolk Island"
country:241,"North Korea"
country:4,Norway
country:178,Oman
country:81,Pakistan
country:193,Palau
region:2005732,"Palestinian Territories"
country:156,Panama
country:100,"Papua New Guinea"
country:197,Paraguay
country:99,Peru
country:94,Philippines
country:21,Poland
country:12,Portugal
country:180,Qatar
country:116,"Republic of the Congo"
country:31,Romania
country:37,Russia
country:147,Rwanda
country:235,"Saint Helena, Ascension and Tristan da Cunha"
country:89,"Saint Kitts and Nevis"
country:95,"Saint Lucia"
country:246,"Saint Martin"
country:211,"Saint Vincent and the Grenadines"
country:243,"San Marino"
country:175,"Saudi Arabia"
country:53,Senegal
country:29,Serbia
country:80,Seychelles
country:137,"Sierra Leone"
country:84,Singapore
country:25,Slovakia
country:24,Slovenia
country:225,"Solomon Islands"
country:144,Somalia
country:85,"South Africa"
region:2005730,"South Georgia and South Sandwich Islands"
country:91,"South Korea"
country:252,"South Sudan"
country:13,Spain
country:52,"Sri Lanka"
country:148,Sudan
country:199,Suriname
country:117,Swaziland
country:6,Sweden
country:19,Switzerland
country:86,Syria
country:128,"São Tomé and Príncipe"
country:167,Sāmoa
country:194,Taiwan
country:232,Tajikistan
country:59,Tanzania
country:47,Thailand
country:16,"The Netherlands"
country:109,Togo
country:163,Tonga
country:70,"Trinidad and Tobago"
country:46,Tunisia
country:34,Turkey
country:227,Turkmenistan
country:152,"Turks and Caicos Islands"
country:165,Tuvalu
country:149,Uganda
country:36,Ukraine
country:54,"United Arab Emirates"
country:1,"United Kingdom"
country:43,"United States of America"
country:201,Uruguay
country:213,Uzbekistan
country:170,Vanuatu
country:247,"Vatican City"
country:65,Venezuela
country:83,Vietnam
country:174,Yemen
country:121,Zambia
country:131,Zimbabwe
